Frame,qpos_LinkN0,qvel_LinkN0,qpos_LinkN1,qvel_LinkN1,qpos_LinkN2,qvel_LinkN2,qpos_LinkN3,qvel_LinkN3,qpos_LinkN4,qvel_LinkN4,qpos_LinkN5,qvel_LinkN5,qpos_LinkN6,qvel_LinkN6,qpos_LinkN7,qvel_LinkN7
51,0.0,0.0,0.0,0.0,-1.039108157,0.1093940735,0.0,0.0,-1.025934458,0.1151733398,0.0,0.0,-0.7604449987,0.4395403862,1.397126913,0
52,0.0,0.0,0.0,0.0,-1.026155829,0.3108558655,0.0,0.0,-1.012414336,0.3244829178,0.0,0.0,-0.7107350826,1.193037987,1.397126913,0
53,0.0,0.0,0.0,0.0,-1.005891323,0.4863481522,0.0,0.0,-0.9914876223,0.5022411346,0.0,0.0,-0.6374784112,1.758160114,1.397126913,0
54,0.0,0.0,0.0,0.0,-0.9793972373,0.6358580589,0.0,0.0,-0.9644690752,0.6484451294,0.0,0.0,-0.5485238433,2.13490963,1.397126913,0
55,0.0,0.0,0.0,0.0,-0.9477558136,0.7593941689,0.0,0.0,-0.9326735735,0.763092041,0.0,0.0,-0.4517203569,2.323283672,1.397126913,0
56,0.0,0.0,0.0,0.0,-0.9120494127,0.8569536209,0.0,0.0,-0.8974156976,0.8461890221,0.0,0.0,-0.3549168706,2.323283672,1.397126913,0
57,0.0,0.0,0.0,0.0,-0.873360455,0.9285349846,0.0,0.0,-0.8600103259,0.89772892,0.0,0.0,-0.2659623623,2.134908199,1.397126913,0
58,0.0,0.0,0.0,0.0,-0.8327713013,0.9741396904,0.0,0.0,-0.8217720389,0.9177188873,0.0,0.0,-0.1927055717,1.758162975,1.397126913,0
59,0.0,0.0,0.0,0.0,-0.7913643122,0.9937677383,0.0,0.0,-0.7840157151,0.9061517715,0.0,0.0,-0.1429957747,1.193035126,1.397126913,0
60,0.0,0.0,0.0,0.0,-0.7502217889,0.9874205589,0.0,0.0,-0.7480560541,0.8630318642,0.0,0.0,-0.1246815473,0.4395414591,1.397126913,0
61,0.0,0.0,0.0,0.0,-0.7102575898,0.9591407776,0.0,0.0,-0.7149035335,0.7956604958,0.0,0.0,-0.1246815473,0.0,1.397126913,0
62,0.0,0.0,0.0,0.0,-0.6717118025,0.925098896,0.0,0.0,-0.6843516827,0.7332444191,0.0,0.0,-0.1246815473,0.0,1.397126913,0
63,0.0,0.0,0.0,0.0,-0.634655416,0.8893532753,0.0,0.0,-0.6558898091,0.6830849648,0.0,0.0,-0.1246815473,0.0,1.397126913,0
64,0.0,0.0,0.0,0.0,-0.5991600156,0.8518896103,0.0,0.0,-0.6290072203,0.6451821327,0.0,0.0,-0.1246815473,0.0,1.397126913,0
65,0.0,0.0,0.0,0.0,-0.5652968287,0.8127164841,0.0,0.0,-0.6031932235,0.619535923,0.0,0.0,-0.1246815473,0.0,1.397126913,0
66,0.0,0.0,0.0,0.0,-0.5331371427,0.7718324661,0.0,0.0,-0.5779371262,0.6061463356,0.0,0.0,-0.1246815473,0.0,1.397126913,0
67,0.0,0.0,0.0,0.0,-0.5027524829,0.7292318344,0.0,0.0,-0.5527281761,0.605014801,0.0,0.0,-0.1246815473,0.0,1.397126913,0
68,0.0,0.0,0.0,0.0,-0.4742140472,0.6849224567,0.0,0.0,-0.5270557404,0.6161384583,0.0,0.0,-0.1246815473,0.0,1.397126913,0
69,0.0,0.0,0.0,0.0,-0.4475932121,0.6389000416,0.0,0.0,-0.5004089475,0.6395230293,0.0,0.0,-0.1246815473,0.0,1.397126913,0
70,0.0,0.0,0.0,0.0,-0.4229612947,0.5911660194,0.0,0.0,-0.4722773433,0.6751585007,0.0,0.0,-0.1246815473,0.0,1.397126913,0
71,0.0,0.0,0.0,0.0,-0.4003093541,0.543646574,0.0,0.0,-0.442307502,0.7192761898,0.0,0.0,-0.1246815473,0.0,1.397126913,0
72,0.0,0.0,0.0,0.0,-0.3793075681,0.5040428638,0.0,0.0,-0.4107758403,0.756759882,0.0,0.0,-0.1246815473,0.0,1.397126913,0
73,0.0,0.0,0.0,0.0,-0.3595457077,0.4742846489,0.0,0.0,-0.3781164289,0.7838258743,0.0,0.0,-0.1246815473,0.0,1.397126913,0
74,0.0,0.0,0.0,0.0,-0.3406135738,0.4543712139,0.0,0.0,-0.3447631001,0.8004798889,0.0,0.0,-0.1246815473,0.0,1.397126913,0
75,0.0,0.0,0.0,0.0,-0.3221010864,0.4442996979,0.0,0.0,-0.311149776,0.80671978,0.0,0.0,-0.1246815473,0.0,1.397126913,0
76,0.0,0.0,0.0,0.0,-0.3035980463,0.4440729618,0.0,0.0,-0.277710408,0.8025448322,0.0,0.0,-0.1246815473,0.0,1.397126913,0
77,0.0,0.0,0.0,0.0,-0.2846942842,0.4536902905,0.0,0.0,-0.2448788881,0.7879564762,0.0,0.0,-0.1246815473,0.0,1.397126913,0
78,0.0,0.0,0.0,0.0,-0.2649796307,0.4731516838,0.0,0.0,-0.2130891234,0.7629543543,0.0,0.0,-0.1246815473,0.0,1.397126913,0
79,0.0,0.0,0.0,0.0,-0.2440439761,0.5024557114,0.0,0.0,-0.1827750802,0.7275370359,0.0,0.0,-0.1246815473,0.0,1.397126913,0
80,0.0,0.0,0.0,0.0,-0.2214771211,0.5416045189,0.0,0.0,-0.1543706506,0.6817063093,0.0,0.0,-0.1246815473,0.0,1.397126913,0
81,0.0,0.0,0.0,0.0,-0.1970837116,0.5854418278,0.0,0.0,-0.1282503307,0.6268876791,0.0,0.0,-0.1193934307,0.1269147992,1.397126913,0
82,0.0,0.0,0.0,0.0,-0.1715275943,0.6133468151,0.0,0.0,-0.1045509055,0.5687862039,0.0,0.0,-0.1050399616,0.3444832563,1.397126913,0
83,0.0,0.0,0.0,0.0,-0.1456873864,0.6201649904,0.0,0.0,-0.08334980905,0.5088263154,0.0,0.0,-0.08388747275,0.5076597333,1.397126913,0
84,0.0,0.0,0.0,0.0,-0.1204418242,0.6058934927,0.0,0.0,-0.06472440809,0.4470096231,0.0,0.0,-0.05820228904,0.6164444089,1.397126913,0
85,0.0,0.0,0.0,0.0,-0.09666950256,0.5705357194,0.0,0.0,-0.04875212163,0.3833348751,0.0,0.0,-0.03025077283,0.6708363891,1.397126913,0
86,0.0,0.0,0.0,0.0,-0.07524910569,0.5140895247,0.0,0.0,-0.03551033139,0.3178029656,0.0,0.0,-0.002299264073,0.6708362103,1.397126913,0
87,0.0,0.0,0.0,0.0,-0.05705929175,0.4365555346,0.0,0.0,-0.02507644519,0.2504132688,0.0,0.0,0.02338591218,0.6164442301,1.397126913,0
88,0.0,0.0,0.0,0.0,-0.04297869653,0.3379342854,0.0,0.0,-0.01752784662,0.1811663657,0.0,0.0,0.04453842342,0.5076602697,1.397126913,0
89,0.0,0.0,0.0,0.0,-0.03388601542,0.2182243466,0.0,0.0,-0.01294193882,0.1100617871,0.0,0.0,0.05889189243,0.3444832563,1.397126913,0
90,0.0,0.0,0.0,0.0,-0.03065986,0.07742772996,0.0,0.0,-0.01139608864,0.0371004045,0.0,0.0,0.06417999417,0.1269144416,1.397126913,0
91,0.0,0.0,0.0,0.0,-0.03065986,0.0,0.0,0.0,-0.01139608864,0.0,0.0,0.0,0.06417999417,0.0,1.397126913,0
92,0.0,0.0,0.0,0.0,-0.03065986,0.0,0.0,0.0,-0.01139608864,0.0,0.0,0.0,0.06417999417,0.0,1.397126913,0
93,0.0,0.0,0.0,0.0,-0.03065986,0.0,0.0,0.0,-0.01139608864,0.0,0.0,0.0,0.06417999417,0.0,1.397126913,0
94,0.0,0.0,0.0,0.0,-0.03065986,0.0,0.0,0.0,-0.01139608864,0.0,0.0,0.0,0.06417999417,0.0,1.397126913,0
95,0.0,0.0,0.0,0.0,-0.03065986,0.0,0.0,0.0,-0.01139608864,0.0,0.0,0.0,0.06417999417,0.0,1.397126913,0
